,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18602,561,52295,413,b'GALAXY',b'',0.171053,639.2918,209.4523,825.4573,35.68046,17.63287,53.79881,48.81932,-192.9935,-19.61838
18603,564,52224,363,b'GALAXY',b'STARBURST',0.2193981,537.3495,163.9929,906.9947,22.74319,10.78273,31.69898,24.74846,-438.1128,-6.438961
18604,565,52225,17,b'QSO',b'BROADLINE',0.102256,231.6601,62.8059,435.9555,226.8084,18.97546,56.42191,42.64377,-14.84612,-13.14715
18605,429,51820,120,b'GALAXY',b'STARFORMING',0.06335409,526.8033,141.2942,39.97738,162.1748,13.57048,93.62119,66.79316,-39.24041,-11.95603
18606,429,51820,229,b'GALAXY',b'',0.1555678,319.2166,49.41485,22.67244,125.3388,12.07864,51.71914,34.30689,-35.7916,-14.28798
18607,429,51820,464,b'GALAXY',b'STARFORMING',0.1587396,104.9975,21.90614,23.12095,91.90317,15.04206,43.00276,35.63573,-8.925624,-7.081115
18608,430,51877,360,b'GALAXY',b'STARFORMING',0.06695586,530.9941,141.0131,57.69024,160.2052,15.77698,108.4538,68.24689,-39.01696,-12.01289
18609,432,51884,336,b'GALAXY',b'STARFORMING',0.09350913,296.2825,64.60783,51.17875,89.50785,16.11615,61.49103,48.7896,-24.42876,-7.37093
18610,433,51873,319,b'GALAXY',b'STARFORMING',0.06196131,305.6575,68.21415,27.42194,125.0989,10.91288,61.87201,37.008,-20.47368,-8.51489
18611,433,51873,478,b'GALAXY',b'STARFORMING',0.03639011,215.6574,38.86924,26.04813,110.3944,13.05909,54.09593,42.85561,-10.987,-5.843277
18612,433,51873,500,b'GALAXY',b'STARFORMING',0.1175355,341.507,74.35429,22.33792,146.2591,11.91709,55.89408,41.39967,-24.13046,-9.805585
18613,434,51885,146,b'GALAXY',b'STARBURST',0.04073252,1115.635,249.8526,54.62068,426.3042,21.99945,180.2742,133.0808,-49.94033,-19.1117
18614,434,51885,399,b'GALAXY',b'STARFORMING',0.03393367,80.83947,15.47235,13.81888,48.65079,8.539078,32.80878,19.78913,-3.75242,-2.121943
18615,435,51882,89,b'GALAXY',b'STARFORMING',0.04132222,239.9093,63.84661,49.9257,59.14525,10.85684,52.88439,35.74126,-27.10378,-7.336093
